support_role,local_use,source_id,paper_title,object_type,object_name,short_claim_summary,canonical_status,version_preference_status,citation_pointer
No carriers,blocks independent carrier of endpoint standing,ERK20260527-New_erk_files_May_35B594-COR-012,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",Corollary,No independent carriers beneath standing,There is no independent foundational carrier of admissible structure beneath standing.,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf, p. 31"
No repair,blocks later proof repairing earlier unbridged endpoint act,ERK20260527-New_erk_files_May_311F0C-THM-009,Boundary-Trace Fixation of Continuation Loci under AASC A Role-Anchor Theorem for Fixed-Domain Persistence,Theorem,No post-selection repair,"A boundary trace introduced, changed, or reinterpreted after role-anchor failure cannot repair standing for the same evaluated act:",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Boundary_Trace_Fixation_of_Continuation_Loci_under_AASC.pdf, p. 16"
Silent redescription,blocks surrogate/normalization replacement of target,ERK20260527-New_erk_files_May_35B594-COR-007,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",Corollary,No silent redescription,Any purported continuation that changes admissibilityrelevant status while claiming same scope is illicit.,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf, p. 28"
Role occupancy,licensed realization of role occupation,ERK20260527-New_erk_files_May_DCCC53-THM-003,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,Theorem,Forced Role Set,"Every realization target induces a forced role set: T (C) ⇒ RT (C, T ).",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf, p. 12"
Boundary trace,declared trace requirement for continuation loci,ERK20260527-New_erk_files_May_045695-EXM-001,Boundary-Trace Fixation under Admissibility Forced Environmental Coupling as the Final Role-Anchor Asymmetry,Example,Two-token environmental witness,"Let Sl = {sA , sB }. Assume:",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Boundary_Trace_Fixation_under_Admissibility.pdf, p. 18"
Standing conservation,"standing can be preserved or destroyed, not created",ERK20260527-New_erk_files_May_8B37FD-PRO-005,"The Bivalence Theorem for Non-Degenerate Construction Standing Conservation, Governance Necessity, and Local Closure",Proposition,;,;,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_The_Bivalence_Theorem_for_Non_Degenerate_Construction.pdf, p. 17"
Bivalence,fail-closed endpoint status on fixed domain,ERK20260527-New_erk_files_May_ACEB9B-PRO-012,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",Proposition,Admissibility and bivalence in the typed domain,Define AdmD (t) = 1 ⇐⇒ ⊢ t : τ.,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_The_Structure_of_Admissibility.pdf, p. 26"
Same-domain incompleteness,Godel/independence firewall,ERK20260527-New_erk_files_May_FBEDF2-THM-007,Admissible Construction and the Non-Instantiability of Gödel Architectures,Theorem,Exhaustion of same-domain incompleteness objection routes,Every same-domain incompleteness objection route falls into one of the following six families:,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Admissible_Construction_and_the_Non_Instantiability_of_G_del_Architectures.pdf, p. 9"
Rescue route exhaustion,blocks semantic/reflection/richer-extension rescue,ERK20260527-New_erk_files_May_3D011A-THM-083,"Forty-Two Exhaustion, Closure, and Downstream Consequence",Theorem,Rescue-route exhaustion,"Every same-domain attempt to rescue a Gödel-style incompleteness objection by semantic truth, satisfaction, intended-model semantics, reflection, infinitary rule-power, transfinite closure, meta-foundational re-anchoring, or richer same-domain extension falls into exactly one of the following classes:",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Forty-Two.pdf, p. 75"
Boundary no-overpromotion,endpoint non-promotion,AASC-EX6-THM-10-1,Endpoint and Boundary Exactness,Theorem,Master endpoint non-promotion theorem,"No boundary condition, endpoint parameter, extension choice, matching surface, totalization move, solver regularity condition, analyticcontinuation route, or initial-condition analogue may promote a numerical value to raw exactness unless the corresponding...",Canonical uploaded PDF source; object-level row may later be merged with exact duplicate/reformulation if corpus-wide duplicate found.,,EX6 Theorem 10.1
Endpoint boundary exactness,endpoint/boundary exactness,AASC-EX6-DEF-9-1,Endpoint and Boundary Exactness,Definition,Endpoint-fixed,EndFixD (x) ⇐⇒ |EndFibD (x)/ ∼Eskin | = 1.,Canonical uploaded PDF source; object-level row may later be merged with exact duplicate/reformulation if corpus-wide duplicate found.,,EX6 Definition 9.1
Calibration/post-selection,post-selection and after-the-fact exclusion,AASC-EX5-COR-11-2,Calibration Removal for Raw Numerical Prediction,Corollary,Post-selection exclusion,"Anthropic, ensemble, survivor, naturalness, or afterthe-fact selection cannot de-calibrate a value.",Canonical uploaded PDF source; object-level row may later be merged with exact duplicate/reformulation if corpus-wide duplicate found.,,EX5 Corollary 11.2
No same-domain totalization,same-carrier totalization block,ERK20260527-New_erk_files_May_3D011A-THM-056,"Forty-Two Exhaustion, Closure, and Downstream Consequence",Theorem,No internal totalization,"Let B = (X, Ω, A) be a nondegenerate fixed admissibility base. No same-scope carrier-preserving extension of B totalizes a genuinely partial old operation on old tuples.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Forty-Two.pdf, p. 49"
No hidden transport,hidden transport analogy for no hidden amplitude route,NOAR-LEM-001,Neutrino Oscillation as the Unique Admissible Reconstruction of Flavor Under Noncommuting Propagation,Lemma,No hidden flavor transport,Excludes hidden transported flavor as an independent NNR object.,Certified,,Neutrino_Oscillation_as_the_Unique_Admissible_Reconstruction/source/main.tex :: Lemma [No hidden flavor transport] :: No hidden flavor transport
Quotient identity,redescription orbit vs invariant identity,ERK20260527-New_erk_files_May_4C9E73-THM-021,"A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline",Theorem,(Quotient-only presentation is insufficient for fixed-scope,Quotient identity alone does not block the dominant smuggling routes:,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_A_Fixed_Domain_Exhaustion_Theorem.pdf, p. 44"
Transport closure,same-target transport closure,ERK20260527-New_erk_files_May_12778C-PRO-001,"Transport Closure in Cosmological Inference and the Hubble Tension A Constraint-Based Analysis of Planck, DESI, Pantheon+, and SH0ES",Proposition,Explicit mismatch under tensor omission,"In the incomplete model, hL − hE = (γ − β)u.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Transport_Closure_in_Cosmological_Inference_and_the_Hubble_Tension.pdf, p. 12"
