local_role,source_id,paper_title,object_type,object_name,short_claim_summary,canonical_status,version_preference_status,citation_pointer
ATS role locking,ERK20260527-New_erk_files_May_C93F68-COR-001,"Structura Ex Necessitate Standardis Modelis A relative closure theorem for the Standard-Model bookkeeping interior under fixed load, fixed domain, and certificate-maximal same-domain transport",Corollary,Transport completeness is forced by “same-scope” assertions,"Let SA , SB be skins both used for scope S. If one asserts that SA and SB represent the same standing content for S (i.e. there exists a presentation X for which both factor as in (1)), then any admissible transport implementing that assertion must induce a bijection on standing quotients and is therefore transportcomplete for S (Definition 2.36)....",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Structura_Ex_Necessitate_Standardis_Modelis.pdf, p. 16"
ATS role locking,ERK20260527-New_erk_files_May_6F74B7-COR-002,Gauge-Coupling Parameters and Forced Uniqueness under Admissible Redescription,Corollary,Standing-bearing criterion is not protective,Definition 3.3 is not an ad hoc filter against gauge couplings. It records the minimal evaluability condition for any same-domain quantity claimed to carry standing: invariance under identity-preserving presentation change and tensor-level effect when varied. Proof. Theorem 3.6 forces the invariance clause. If a quantity is invariant but its variation...,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Gauge_Coupling_Parameters_and_Forced_Uniqueness.pdf, p. 7"
ATS role locking,ERK20260527-New_erk_files_May_2490B6-COR-014,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Corollary,Global non-survival of quantum admissible rivals,"There exists no admissible quantum realization, anywhere in the admissibility-equivalence class fixed by Definition Q.1, that is both non-equivalent to the derived quantum theorem object and preserves the same Bell witness set together with the same measurement-record quotient.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Admissibility_and_the_Common_Structura.pdf, p. 46"
ATS role locking,ERK20260527-New_erk_files_May_B2C14B-DEF-009,Constraint-Bundle Forcing under Fixed-Domain Evaluability A Governance Non-Vacuity Theorem under AASC,Definition,Governance bundle,"A governance bundle GD is a typed role-indexed constraint family by which non-degenerate fixed-domain reuse-relevant evaluability is preserved. The canonical expanded form is: GD = ⟨GateD , AdmD , StandD , IdD , TrD , QuotD , RedescD , BoundD , FailD ⟩. The tuple is not a concrete object, primitive algebraic carrier, or ontic inventory. It is a compact...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Constraint_Bundle_Forcing_under_Fixed_Domain_Evaluability.pdf, p. 7"
ATS role locking,ERK20260527-New_erk_files_May_B2C14B-DEF-005,Constraint-Bundle Forcing under Fixed-Domain Evaluability A Governance Non-Vacuity Theorem under AASC,Definition,Target phenomenon,"Let PD denote the target phenomenon: non-degenerate fixed-domain reuse-relevant evaluability on D. To preserve PD is to preserve the same-domain treatment of at least one distinction as reuse-relevant across lawful continuation without changing the comparison target, reducing the distinction to inert skin, or importing an undeclared richer domain.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Constraint_Bundle_Forcing_under_Fixed_Domain_Evaluability.pdf, p. 7"
AMetric no-selector,ERK20260527-New_erk_files_May_2490B6-COR-014,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Corollary,Global non-survival of quantum admissible rivals,"There exists no admissible quantum realization, anywhere in the admissibility-equivalence class fixed by Definition Q.1, that is both non-equivalent to the derived quantum theorem object and preserves the same Bell witness set together with the same measurement-record quotient.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Admissibility_and_the_Common_Structura.pdf, p. 46"
AMetric no-selector,ERK20260527-New_erk_files_May_C93F68-COR-001,"Structura Ex Necessitate Standardis Modelis A relative closure theorem for the Standard-Model bookkeeping interior under fixed load, fixed domain, and certificate-maximal same-domain transport",Corollary,Transport completeness is forced by “same-scope” assertions,"Let SA , SB be skins both used for scope S. If one asserts that SA and SB represent the same standing content for S (i.e. there exists a presentation X for which both factor as in (1)), then any admissible transport implementing that assertion must induce a bijection on standing quotients and is therefore transportcomplete for S (Definition 2.36)....",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Structura_Ex_Necessitate_Standardis_Modelis.pdf, p. 16"
AMetric no-selector,ERK20260527-New_erk_files_May_6F74B7-COR-002,Gauge-Coupling Parameters and Forced Uniqueness under Admissible Redescription,Corollary,Standing-bearing criterion is not protective,Definition 3.3 is not an ad hoc filter against gauge couplings. It records the minimal evaluability condition for any same-domain quantity claimed to carry standing: invariance under identity-preserving presentation change and tensor-level effect when varied. Proof. Theorem 3.6 forces the invariance clause. If a quantity is invariant but its variation...,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Gauge_Coupling_Parameters_and_Forced_Uniqueness.pdf, p. 7"
AMetric no-selector,ERK20260527-New_erk_files_May_35B594-COR-002,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",Corollary,No non-degenerate regime below the kernel,No meaningful regime can both support non-degenerate construction in the sense of Definition 2.5 and generate any member of K from a strictly lower governance-free basis while remaining within that same fixed domain.,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf, p. 16"
AMetric no-selector,ERK20260527-New_erk_files_May_D2FE05-THM-011,"Constraint Architectures for Coherent Evaluability Quotient Interfaces, Kernel Instantiation, and Structural Persistence",Theorem,Quotient descent,Every licensed transition schema descends to the quotient transition relation TbQ . Every redescription-stable licensed transition schema descends further to a unique quotient map Tb satisfying π ◦ T = Tb ◦ π. Proof. The first claim is Lemma 5.6. The second claim is Corollary 5.7; the displayed factorization is the definition of Tb.,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Constraint_Architectures_for_Coherent_Evaluability.pdf, p. 21"
no post-selection repair,ERK20260527-New_erk_files_May_4C9E73-COR-005,"A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline",Corollary,Scheduler collapse (no fourth “meta-structural” role,). Any scheduler σ in the sense of Definition 11.1 is forced into the existing trichotomy:,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_A_Fixed_Domain_Exhaustion_Theorem.pdf, p. 39"
no post-selection repair,ERK20260527-New_erk_files_May_3A01F1-DEF-006,On the Non-Quantizability of Gravity and Constraint-Induced Rigidity of Physical Structure A Closure Theorem via Admissibility and Divergence Exhaustion,Definition,External primitive quantization tuple,"Before applying AASC terminology, a primitive quantization attempt for gravity is an externally specified mathematical-physics tuple",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_On_the_Non_Quantizability_of_Gravity_and_Constraint_Induced_Rigidity_of_.pdf, p. 4"
no post-selection repair,ERK20260527-New_erk_files_May_3A01F1-DEF-010,On the Non-Quantizability of Gravity and Constraint-Induced Rigidity of Physical Structure A Closure Theorem via Admissibility and Divergence Exhaustion,Definition,Primitive quantization normal-form family,"A proposed primitive quantization attempt has an AASC normal-form image in the following finite family: (N1) Skin factorization: the map changes only presentation and factors through A. (N2) Anchor motion: the map changes domain, background, boundary data, regulator envelope, or admissibility conditions. (N3) Tensor-witness change: the map adds, deletes, or...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_On_the_Non_Quantizability_of_Gravity_and_Constraint_Induced_Rigidity_of_.pdf, p. 6"
no post-selection repair,ERK20260527-New_erk_files_May_B96510-DEF-001,Standing Localization under Realized Persistence A Repair-Localization Theorem under AASC,Definition,Realized persistence regime,"RealPersD holds iff D contains a realized persistenceregime equivalence class [PD ]≡Pers induced by irreversible standing-bearing continuation. The class preserves role-anchor participation, trajectory behavior, transport, quotient behavior, failure behavior, consequence retention, and irreversibility profile under lawful same-domain admissibilitypreserving...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Standing_Localization_under_Realized_Persistence.pdf, p. 5"
no post-selection repair,ERK20260527-New_erk_files_May_FBEDF2-DEF-014,Admissible Construction and the Non-Instantiability of Gödel Architectures,Definition,Relabeling symmetry,"By theorem B.3, the relevant symmetry group on the pre-admissible side is the full symmetric group Sym(P ) of bijections π : P → P . Each π ∈ Sym(P ) acts componentwise on tuples by π(x1 , . . . , xn ) := (π(x1 ), . . . , π(xn )).",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Admissible_Construction_and_the_Non_Instantiability_of_G_del_Architectures.pdf, p. 30"
no carrier transfer,ERK20260527-New_erk_files_May_2490B6-COR-014,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Corollary,Global non-survival of quantum admissible rivals,"There exists no admissible quantum realization, anywhere in the admissibility-equivalence class fixed by Definition Q.1, that is both non-equivalent to the derived quantum theorem object and preserves the same Bell witness set together with the same measurement-record quotient.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Admissibility_and_the_Common_Structura.pdf, p. 46"
no carrier transfer,ERK20260527-New_erk_files_May_2490B6-COR-006,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Corollary,Counterexample burden,"A genuine counterexample to the rigidity theorem must preserve the same regular-stratum theorem object while producing a same-scope physically relevant difference that does not realize any route in the finite family of Definition 32.2. By Theorem 32.4, no such counterexample exists.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Admissibility_and_the_Common_Structura.pdf, p. 25"
no carrier transfer,ERK20260527-New_erk_files_May_2490B6-COR-005,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Corollary,No surviving genuine same-scope rival,"No genuine same-scope rival to the derived AER object survives on the fixed admissibility comparison class. Proof. By Theorem 32.4, every genuine same-scope rival has nonempty route image in the finite family of Definitions 32.2 and 32.3. By Theorem 32.7, no route in that family survives. Hence no genuine same-scope rival survives.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Admissibility_and_the_Common_Structura.pdf, p. 24"
no carrier transfer,ERK20260527-New_erk_files_May_C93F68-COR-001,"Structura Ex Necessitate Standardis Modelis A relative closure theorem for the Standard-Model bookkeeping interior under fixed load, fixed domain, and certificate-maximal same-domain transport",Corollary,Transport completeness is forced by “same-scope” assertions,"Let SA , SB be skins both used for scope S. If one asserts that SA and SB represent the same standing content for S (i.e. there exists a presentation X for which both factor as in (1)), then any admissible transport implementing that assertion must induce a bijection on standing quotients and is therefore transportcomplete for S (Definition 2.36)....",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Structura_Ex_Necessitate_Standardis_Modelis.pdf, p. 16"
no carrier transfer,ERK20260527-New_erk_files_May_C93F68-COR-006,"Structura Ex Necessitate Standardis Modelis A relative closure theorem for the Standard-Model bookkeeping interior under fixed load, fixed domain, and certificate-maximal same-domain transport",Corollary,Rephasing redundancy exhaustion,All rephasing freedom beyond the physical CP-odd quotient phases is redundancy. Any assertion of additional independent phases requires representational privilege or hidden structure and is therefore a standing failure (Definition 2.53).,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Structura_Ex_Necessitate_Standardis_Modelis.pdf, p. 40"
silent redescription,ERK20260527-New_erk_files_May_6F74B7-COR-002,Gauge-Coupling Parameters and Forced Uniqueness under Admissible Redescription,Corollary,Standing-bearing criterion is not protective,Definition 3.3 is not an ad hoc filter against gauge couplings. It records the minimal evaluability condition for any same-domain quantity claimed to carry standing: invariance under identity-preserving presentation change and tensor-level effect when varied. Proof. Theorem 3.6 forces the invariance clause. If a quantity is invariant but its variation...,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Gauge_Coupling_Parameters_and_Forced_Uniqueness.pdf, p. 7"
silent redescription,ERK20260527-New_erk_files_May_4C9E73-COR-001,"A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline",Corollary,“Tracked” boundary imports are scope changes,"Any proposal of the form “allow a new boundary primitive but track/localize/stresstest it” is, in the present calculus, a scope extension in the sense of Definition 1.2. Equivalently: there is no nontrivial weakening of AA6 that preserves fixed-scope exhaustion; the only admissible way to add boundary primitives is to declare S + ̸= S. Dependencies. AA6;...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_A_Fixed_Domain_Exhaustion_Theorem.pdf, p. 13"
silent redescription,ERK20260527-New_erk_files_May_C93F68-COR-001,"Structura Ex Necessitate Standardis Modelis A relative closure theorem for the Standard-Model bookkeeping interior under fixed load, fixed domain, and certificate-maximal same-domain transport",Corollary,Transport completeness is forced by “same-scope” assertions,"Let SA , SB be skins both used for scope S. If one asserts that SA and SB represent the same standing content for S (i.e. there exists a presentation X for which both factor as in (1)), then any admissible transport implementing that assertion must induce a bijection on standing quotients and is therefore transportcomplete for S (Definition 2.36)....",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Structura_Ex_Necessitate_Standardis_Modelis.pdf, p. 16"
silent redescription,ERK20260527-New_erk_files_May_D2FE05-THM-011,"Constraint Architectures for Coherent Evaluability Quotient Interfaces, Kernel Instantiation, and Structural Persistence",Theorem,Quotient descent,Every licensed transition schema descends to the quotient transition relation TbQ . Every redescription-stable licensed transition schema descends further to a unique quotient map Tb satisfying π ◦ T = Tb ◦ π. Proof. The first claim is Lemma 5.6. The second claim is Corollary 5.7; the displayed factorization is the definition of Tb.,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Constraint_Architectures_for_Coherent_Evaluability.pdf, p. 21"
silent redescription,ERK20260527-New_erk_files_May_ED8EE1-DEF-011,The Structural Inadmissibility of the Null Regime A Fixed-Domain Closure Theorem under AASC,Definition,Admissible-nullism,"Admissible-nullism is the thesis that total vacuity can function as an admissible regime, fixed point, endpoint, closure state, external denial point, lower generator, empty-extension classification, mute-nullity shield, skin-only authority, same-type counterexample, or standing-bearing description under AASC evaluation.",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_The_Structural_Inadmissibility_of_the_Null_Regime.pdf, p. 8"
role occupation,ERK20260527-New_erk_files_May_311F0C-DEF-003,Boundary-Trace Fixation of Continuation Loci under AASC A Role-Anchor Theorem for Fixed-Domain Persistence,Definition,Role-anchor slot,A role-anchor slot SlotD (L) is the admissibility-bearing position by which a continuation locus L can participate in a fixed constructional or persistence role. A slot is not a selected representative. It is the role position whose occupation must be fixed before role-indexed standing-bearing use can proceed.,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Boundary_Trace_Fixation_of_Continuation_Loci_under_AASC.pdf, p. 5"
role occupation,ERK20260527-New_erk_files_May_DCCC53-RES-002,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,Result,unction in this paper,Result Function in this paper Role automorphism quotient handles interchangeable role positions without false non-uniqueness Independent prevents the main theorem from becoming merely licensed-realization definition definitional Candidate-Class blocks treating candidate sets as realized outputs Non-Realization Separation Is Not blocks branch separation as...,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf, p. 23"
role occupation,ERK20260527-New_erk_files_May_DCCC53-DEF-004,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,Definition,Admissible residue,The admissible residue of C is Residue(C) = Radm (C)/ ∼pres . It is the set of presentation-quotiented surviving candidates. It is not yet a role assignment. The move from role-equivalence to presentation-equivalence is deliberate. A quotient that already says two candidates “occupy the same target role” risks assuming the role assignment that the theorem...,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf, p. 7"
role occupation,ERK20260527-New_erk_files_May_DCCC53-PRO-002,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,Proposition,Charged-lepton protected trace singleton requirement,A charged-lepton carrier-level closure does not by itself license exact pole closure. Exact pole closure for the protected trace remainder requires a unique compatible role assignment for the pole-transport target. This diagnosis is criterion-setting rather than closed: the theorem states the exact closure condition the charged-lepton pole target must meet;...,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf, p. 17"
role occupation,ERK20260527-New_erk_files_May_DCCC53-THM-005,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,Theorem,Sufficiency under certificate completeness,"Assume C is role-realization complete for target T . If ΣC (T )/Γlawful C,T = 1, then realization is licensed for (C, T ). Proof. A representative assignment σ ∈ ΣC (T ) is a bijection: it covers every forced target role with an eligible and live target-relative residue, uses every live target-relative residue, assigns distinct residues to distinct roles,...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf, p. 13"
nonfactorizability,ERK20260527-New_erk_files_May_D2FE05-THM-011,"Constraint Architectures for Coherent Evaluability Quotient Interfaces, Kernel Instantiation, and Structural Persistence",Theorem,Quotient descent,Every licensed transition schema descends to the quotient transition relation TbQ . Every redescription-stable licensed transition schema descends further to a unique quotient map Tb satisfying π ◦ T = Tb ◦ π. Proof. The first claim is Lemma 5.6. The second claim is Corollary 5.7; the displayed factorization is the definition of Tb.,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Constraint_Architectures_for_Coherent_Evaluability.pdf, p. 21"
nonfactorizability,ERK20260527-New_erk_files_May_4C9E73-THM-013,"A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline",Theorem,(Same-scope history-level factorization (no path-dependent,"). Fix a typed domain D with act set Act, a history interface ε̂ (Definition 6.4), and the future-behavior congruence ∼ on Act<ω (Definition 6.5). Let π : Act<ω → Act<ω / ∼ be the quotient map. Within fixed scope, any standing-relevant discriminator F : Act<ω → Y must be constant on ∼-classes and hence factors uniquely through π. Equivalently:...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_A_Fixed_Domain_Exhaustion_Theorem.pdf, p. 32"
nonfactorizability,ERK20260527-New_erk_files_May_4C9E73-REM-010,"A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline",Remark,"Detectability is derived, not assumed","ATS v10 highlights intrinsic detectability as the root enforcement-level premise. In this composite we do not take detectability as an additional axiom: once standing is fixed as admissible-history indistinguishability (Definitions 3.1-3.3), intrinsic detectability follows as (i) a separation theorem of the canonical quotient (Theorem 3.1), (ii) an explicit...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_A_Fixed_Domain_Exhaustion_Theorem.pdf, p. 10"
nonfactorizability,ERK20260527-New_erk_files_May_C93F68-DEF-012,"Structura Ex Necessitate Standardis Modelis A relative closure theorem for the Standard-Model bookkeeping interior under fixed load, fixed domain, and certificate-maximal same-domain transport",Definition,h; p,"), we have OutS (h; p) = OutS (h; p′ ) for all h ∈ HS . By factorization this implies OutX (h; r(p)) = OutX (h; r(p′ )) for all h, hence r(p) ≈S r(p′ ) and therefore rred (p) = πX (r(p)) = πX (r(p′ )) = rred (p′ ). Completeness: assume rred (p) = rred (p′ ). Then πX (r(p)) = πX (r(p′ )), i.e. r(p) ≈S r(p′ ), so OutX (h; r(p)) = OutX (h; r(p′ )) for all h...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Structura_Ex_Necessitate_Standardis_Modelis.pdf, p. 15"
nonfactorizability,ERK20260527-New_erk_files_May_4C9E73-LEM-009,"A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline",Lemma,(Finite witness for non-factorization through the standing,Let q : P → QS be the quotient map (Definition 3.3) and let F : P → Y be any function. Then:,Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_A_Fixed_Domain_Exhaustion_Theorem.pdf, p. 21"
same-domain incompleteness firewall,ERK20260527-New_erk_files_May_FBEDF2-DEF-010,Admissible Construction and the Non-Instantiability of Gödel Architectures,Definition,Governance-valid act identity,"The governance-valid identity of an act is its identity as a licensed claim-bearing contribution at act-time, not its merely historical, typographic, archival, or theorem-directed identity. Accordingly, two inscriptions may be historically grouped as “the same proof” while differing in governance-valid act identity whenever one owes its validity to a later...",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Admissible_Construction_and_the_Non_Instantiability_of_G_del_Architectures.pdf, p. 12"
same-domain incompleteness firewall,ERK20260527-New_erk_files_May_FBEDF2-DEF-014,Admissible Construction and the Non-Instantiability of Gödel Architectures,Definition,Relabeling symmetry,"By theorem B.3, the relevant symmetry group on the pre-admissible side is the full symmetric group Sym(P ) of bijections π : P → P . Each π ∈ Sym(P ) acts componentwise on tuples by π(x1 , . . . , xn ) := (π(x1 ), . . . , π(xn )).",Preferred hardened candidate from May 27 ERK source PDF,Preferred hardened version,"New_erk_files_May_27_Admissible_Construction_and_the_Non_Instantiability_of_G_del_Architectures.pdf, p. 30"
