source_id,paper_title,object_type,object_name,short_claim_summary,AASC_family,AASC_subfamily,kernel_role,interface_role,closure_role,impossibility_role,licenses,forbids,version_preference_status
ERK20260527-New_erk_files_May_DCCC53-REM-001,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,Remark,The answer is not chosen,"The answer is not chosen from a candidate list. The answer is the unique certificate-compatible occupation of the forced target role set by the live target-relative residue. If the target needs one occupant and two eligible rivals survive, the result is underdetermined. If the target needs two complementary occupants and there is a unique jointly compatible...",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_8962DE-DEF-001,"Admissible Record Construction in Physically Non-Selective Quantum Regimes Fixed-Domain Quotients, Boundary-Trace Fixation, and Constructional Determinacy Overview. This manuscript treats the measurement problem as a fixed-domain",Definition,Fixed downstream substrate,"A fixed downstream substrate for the present manuscript is a same-scope, admissibility-governed regime in which the following are already in force. 1. Admissibility is a forced governance boundary for the target class of non-degenerate, constructed object-bearing systems.",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_311F0C-THM-009,Boundary-Trace Fixation of Continuation Loci under AASC A Role-Anchor Theorem for Fixed-Domain Persistence,Theorem,No post-selection repair,"A boundary trace introduced, changed, or reinterpreted after role-anchor failure cannot repair standing for the same evaluated act:",Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",kernel-consistent AASC deployment; gated admissibility evaluation,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_FBEDF2-THM-049,Admissible Construction and the Non-Instantiability of Gödel Architectures,Theorem,No generators,There is no internal operation T and no act a ∈ XD • with standing-failure such that T (a) is standing-positive as a consequence of a alone and without fresh evaluation on D.,Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",kernel-consistent AASC deployment; typed AASC construction under fixed scope,"primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_41605D-THM-029,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,Theorem,Admissibility constraint on No carriers (numeric or structural,). Assume MIAX and Theorem 5.26. No carrier attempt QD can serve as a primitive authorizer of standing except by coinciding extensionally with the unique gate predicate guaranteed by Theorem 6.12. Any admissible use of QD must be downstream bookkeeping inside an already gated envelope and has no authority over eligibility. Construction witness. Let QD be a...,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.","Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_FBEDF2-REM-005,Admissible Construction and the Non-Instantiability of Gödel Architectures,Remark,Seminar and blackboard practice,"Seminar sketches, blackboard arguments, and exploratory proof attempts may fall inside the present target when they are construction-governed under admissibility-invariant use. What is excluded is not provisionality as such, but silent redescription, role-shift, and repair-by-reinterpretation.",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",kernel-consistent AASC deployment; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair",Preferred hardened version
ERK20260527-New_erk_files_May_FBEDF2-COR-001,Admissible Construction and the Non-Instantiability of Gödel Architectures,Corollary,No independent governance-relevant classifier,No construction-derived classifier survives on the fixed domain as an independent governance-relevant closure determinant.,Constraint envelope / redescription layer,"constraint envelopes, scope, redescription, envelope non-contact, transport control",,,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.","Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",closure-controlled downstream use; typed AASC construction under fixed scope,"primitive reification, compatibility-only promotion, or post-hoc repair",Preferred hardened version
ERK20260527-New_erk_files_May_FBEDF2-THM-003,Admissible Construction and the Non-Instantiability of Gödel Architectures,Theorem,Construction-derived classifier role exhaustion,Every same-domain constructionderived classifier falls into exactly one of four roles:,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control",,,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.","Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",closure-controlled downstream use; typed AASC construction under fixed scope,"primitive reification, compatibility-only promotion, or post-hoc repair",Preferred hardened version
ERK20260527-New_erk_files_May_C3E3B7-THM-011,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,Theorem,AMetric Boundary forcing,"Every alleged alternative bookkeeping construction faces the following dichotomy. Either it does not cross the AMetric Boundary, in which case it is not a comparable standing-bearing occupant; or it crosses the boundary by supplying identity fixation, witness invariance, transport completeness, continuation stability, and repair exclusion, in which case it...",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_C3E3B7-DEF-020,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,Definition,Admissibly distinct construction trajectory,"A construction trajectory is a finite sequence of construction records, redescriptions, transports, quotient reductions, and witness extractions leading to an occupant. Two trajectories are admissibly distinct only if, after crossing the AMetric Boundary, they differ in standing quotient, invariant witness ledger, transport/history structure, role typing,...",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_C3E3B7-THM-014,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,Theorem,Non-rederivability of an admissibly distinct Standard-Model occupant,"There is no admissibly distinct rederivation of SMbook inside the target AASC domain. Any construction trajectory that reaches a standing-bearing particle-physics occupant either factors through the same terminal normal form SMbook , or else fails before the AMetric Boundary, violates the Impossibility Suite, changes the domain, or produces a larger-domain...",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.","Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_C3E3B7-LEM-008,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,Lemma,Interior closure dependency,"Given the occupant/load-class forced by the locked dependencies, any purported same-load completion reduces to the existing Standard-Model bookkeeping interior or is typed as load motion, scope motion, witness motion, quotient motion, continuation motion, skin, or standing failure.",AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation,ungated scope transport or modality laundering,Preferred hardened version
ERK20260527-New_erk_files_May_2490B6-REM-001,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Remark,AER-Obsmin asserts only algebraic closure of the Poisson bracket on the class of,"AER-Obsmin asserts only algebraic closure of the Poisson bracket on the class of physical observables. It does not assume a reduced symplectic form, nondegeneracy on the quotient, or an a priori Marsden-Weinstein reduction. The quotient geometry used later is derived on the regular stratum from AER-Obsmin together with AER-Sep.",AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; typed AASC construction under fixed scope,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",Preferred hardened version
ERK20260527-New_erk_files_May_2490B6-PRO-008,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Proposition,Interface-necessity summary on the fixed comparison class,"On the regular stratum, AER-Obsmin supplies quotient-level Poisson closure, AER-Sep supplies quotient completeness, and AER-Max supplies quotient maximality. If any one of these fails, then the admissibilityconditioned interface used in this manuscript is not instantiated on that presentation: the observable quotient is not closed, not complete, or not...",AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,ungated scope transport or modality laundering,Preferred hardened version
ERK20260527-New_erk_files_May_2490B6-DEF-011,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Definition,"Anchor, tensor, and skin for the AER presentation",Within a same-scope presentation of A:,Physics structural-recovery layer,"Standard Model, gauge, charge, chiral, Yukawa, mass, mixing, phase, holonomy recovery","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,,,kernel-consistent AASC deployment; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_6DC183-BND-001,"Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description",Boundary,ommitments,"3.2. Boundary Commitments 1. The AMetric Boundary is pre-admissible, non-operational, and non-transmissive. 2. No metric, probabilistic, causal, informational, or operational notions exist at the boundary. 3. Standing is binary, single-shot, and terminal; no revision or repair within a lineage.",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.",,,kernel-consistent AASC deployment; interface-safe reconstruction; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_045695-BND-001,Boundary-Trace Fixation under Admissibility Forced Environmental Coupling as the Final Role-Anchor Asymmetry,Boundary,Trace Fixation under Admissibility,Boundary-Trace Fixation under Admissibility Forced Environmental Coupling as the Final Role-Anchor Asymmetry,Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_553AA0-DEF-010,"Closure by Exhaustion for Same-Scope Operators under Admissibility A self-contained derivation from graph rigidity, family classification, and interaction closure",Definition,AMetric boundary,"The AMetric boundary is the obstruction to adjoining evaluative operators-for example metric, measure, limit, probability, or analogous global evaluators- to a pre-admissible partial algebra in order to decide cases that are undefined on the standing-bearing carrier.",Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_1C2C26-THM-012,Concrete-Domain Closure under AASC A Non-Dischargeability Theorem for Bounded Realized Persistence,Theorem,AMetric non-selection of concrete closure,AMetricClosureD → ¬ Default([CD ]≡Conc ),AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",,"Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,interface-safe reconstruction; closure-controlled downstream use; typed AASC construction under fixed scope,"unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
ERK20260527-New_erk_files_May_D2FE05-CST-001,"Constraint Architectures for Coherent Evaluability Quotient Interfaces, Kernel Instantiation, and Structural Persistence",Constraint,rchitectures for Coherent Evaluability,"Constraint Architectures for Coherent Evaluability Quotient Interfaces, Kernel Instantiation, and Structural Persistence",AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",,"Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.",,,interface-safe reconstruction,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",Preferred hardened version
ERK20260527-New_erk_files_May_B2C14B-BND-001,Constraint-Bundle Forcing under Fixed-Domain Evaluability A Governance Non-Vacuity Theorem under AASC,Boundary,"trace fixation A positive boundary trace is admissible only when declared, stable,","Boundary-trace fixation A positive boundary trace is admissible only when declared, stable, bivalent, outcome-independent, and fail-closed; hidden tie-breakers or post-hoc selectors change the domain. Closure by exhaustion Same-scope operators cannot totalize, add hidden auxiliary data, or import family-specific selectors without either changing domain,...",Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.","Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",Preferred hardened version
